id;CIDADE;ESTADO;UF;REGIÃO;location;Latitude;Longitude
1100502;Novo Horizonte do Oeste;Rondônia;RO;Norte;Novo Horizonte do Oeste, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-117.105.311;-619.993.277
1100601;Cacaulândia;Rondônia;RO;Norte;Cacaulândia, Região Geográfica Imediata de Ariquemes, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-103.380.043;-629.007.231
1100700;Campo Novo de Rondônia;Rondônia;RO;Norte;Campo Novo de Rondônia, Região Geográfica Imediata de Ariquemes, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-105.704.235;-636.199.511
1100809;Candeias do Jamari;Rondônia;RO;Norte;Candeias do Jamari, Região Geográfica Imediata de Porto Velho, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, 78938-000, Brasil;-87.949.939;-637.018.851
1100908;Castanheiras;Rondônia;RO;Norte;Castanheiras, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-114.277.212;-619.486.802
1100924;Chupinguaia;Rondônia;RO;Norte;Chupinguaia, Região Geográfica Imediata de Vilhena, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-125.528.918;-609.027.819
1100940;Cujubim;Rondônia;RO;Norte;Cujubim, Região Geográfica Imediata de Ariquemes, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-93.687.919;-625.832.107
1101005;Governador Jorge Teixeira;Rondônia;RO;Norte;Governador Jorge Teixeira, Região Geográfica Imediata de Jaru, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-106.140.224;-627.326.412
1101104;Itapuã do Oeste;Rondônia;RO;Norte;Itapuã do Oeste, Região Geográfica Imediata de Porto Velho, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, 76861-000, Brasil;-9.128;-63.123.707.762.557.000
1101203;Ministro Andreazza;Rondônia;RO;Norte;Ministro Andreazza, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-111.981.045;-615.167.422
1101302;Mirante da Serra;Rondônia;RO;Norte;Mirante da Serra, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76926-000, Brasil;-110.321.694;-626.717.012
1101401;Monte Negro;Rondônia;RO;Norte;Monte Negro, Região Geográfica Imediata de Ariquemes, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-102.603.463;-632.986.252
1101435;Nova União;Rondônia;RO;Norte;Nova União, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-1.091.591;-625.570.096
1101450;Parecis;Rondônia;RO;Norte;Parecis, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-121.810.712;-616.037.558
1101468;Pimenteiras do Oeste;Rondônia;RO;Norte;Pimenteiras do Oeste, Região Geográfica Imediata de Vilhena, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-13.482.271;-61.047.052
1101476;Primavera de Rondônia;Rondônia;RO;Norte;Primavera de Rondônia, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-11.829.456;-61.315.336
1101484;São Felipe D'Oeste;Rondônia;RO;Norte;São Felipe d'Oeste, Região Geográfica Imediata de Cacoal, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-119.107.798;-615.130.058
1101492;São Francisco do Guaporé;Rondônia;RO;Norte;São Francisco do Guaporé, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-120.609.982;-635.668.307
1101500;Seringueiras;Rondônia;RO;Norte;Seringueiras, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-117.715.738;-630.346.835
1101559;Teixeirópolis;Rondônia;RO;Norte;Teixeirópolis, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76928-000, Brasil;-109.336.967;-622.560.049
1101609;Theobroma;Rondônia;RO;Norte;Theobroma, Região Geográfica Imediata de Jaru, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, Brasil;-10.246.489;-623.493.803
1101708;Urupá;Rondônia;RO;Norte;Urupá, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, 76929-000, Brasil;-111.256.535;-623.704.203
1101757;Vale do Anari;Rondônia;RO;Norte;Vale do Anari, Região Geográfica Imediata de Jaru, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, 76867-000, Brasil;-98.580.807;-621.741.423
1101807;Vale do Paraíso;Rondônia;RO;Norte;Vale do Paraíso, Região Geográfica Imediata de Ji-Paraná, Região Geográfica Intermediária de Ji-Paraná, Rondônia, Região Norte, Brasil;-104.266.959;-621.300.904
1200013;Acrelândia;Acre;AC;Norte;Acrelândia, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-100.759.167;-670.526.898
1200054;Assis Brasil;Acre;AC;Norte;Assis Brasil, Região Geográfica Imediata de Brasiléia, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-109.409.203;-695.672.108
1200104;Brasiléia;Acre;AC;Norte;Brasiléia, Região Geográfica Imediata de Brasiléia, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-110.010.413;-687.487.894
1200138;Bujari;Acre;AC;Norte;Bujari, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-98.309.656;-679.520.886
1200179;Capixaba;Acre;AC;Norte;Capixaba, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-105.741.345;-676.759.719
1200203;Cruzeiro do Sul;Acre;AC;Norte;Cruzeiro do Sul, Região Geográfica Imediata de Cruzeiro do Sul, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, Brasil;-76.307.956;-726.703.869
1200252;Epitaciolândia;Acre;AC;Norte;Epitaciolândia, Região Geográfica Imediata de Brasiléia, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, 69934-000, Brasil;-110.289.439;-687.411.519
1200302;Feijó;Acre;AC;Norte;Feijó, Região Geográfica Imediata de Tarauacá, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, Brasil;-81.648.652;-703.539.579
1200328;Jordão;Acre;AC;Norte;Jordão, Região Geográfica Imediata de Tarauacá, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, Brasil;-91.905.396;-719.484.803
1200336;Mâncio Lima;Acre;AC;Norte;Mâncio Lima, Região Geográfica Imediata de Cruzeiro do Sul, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, 69990-000, Brasil;-76.145.911;-72.905.264
1200344;Manoel Urbano;Acre;AC;Norte;Manoel Urbano, Região Geográfica Imediata de Sena Madureira, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-8.838.755;-692.619.465
1200351;Marechal Thaumaturgo;Acre;AC;Norte;Marechal Thaumaturgo, Região Geográfica Imediata de Cruzeiro do Sul, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, Brasil;-89.479.792;-727.872.614
1200385;Plácido de Castro;Acre;AC;Norte;Plácido de Castro, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-103.239.154;-671.824.196
1200393;Porto Walter;Acre;AC;Norte;Porto Walter, Região Geográfica Imediata de Cruzeiro do Sul, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, Brasil;-82.687.722;-727.444.458
1200401;Rio Branco;Acre;AC;Norte;Rio Branco, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-99.765.362;-678.220.778
1200427;Rodrigues Alves;Acre;AC;Norte;Rodrigues Alves, Região Geográfica Imediata de Cruzeiro do Sul, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, 69985-000, Brasil;-77.380.283;-726.509.379
1200435;Santa Rosa do Purus;Acre;AC;Norte;Santa Rosa do Purus, Região Geográfica Imediata de Sena Madureira, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-94.354.872;-704.926.109
1200450;Senador Guiomard;Acre;AC;Norte;Senador Guiomard, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-99.765;-6.731.913.961.038.960
1200500;Sena Madureira;Acre;AC;Norte;Sena Madureira, Região Geográfica Imediata de Sena Madureira, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, 69940-000, Brasil;-90.659.556;-686.571.058
1200609;Tarauacá;Acre;AC;Norte;Tarauacá, Região Geográfica Imediata de Tarauacá, Região Geográfica Intermediária de Cruzeiro do Sul, Acre, Região Norte, 69970-000, Brasil;-81.602.019;-707.665.368
1200708;Xapuri;Acre;AC;Norte;Xapuri, Região Geográfica Imediata de Brasiléia, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-106.511.174;-685.017.902
1200807;Porto Acre;Acre;AC;Norte;Porto Acre, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil;-95.879.722;-6.753.307
1300029;Alvarães;Amazonas;AM;Norte;Alvarães, Região Geográfica Imediata de Tefé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69475-000, Brasil;-3.214.786;-648.143.124
1300060;Amaturá;Amazonas;AM;Norte;Amaturá, Região Geográfica Imediata de Tabatinga, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69620-000, Brasil;-33.640.509;-681.994.689
1300086;Anamã;Amazonas;AM;Norte;Anamã, Região Geográfica Imediata de Manacapuru, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-35.797.356;-614.049.996
1300102;Anori;Amazonas;AM;Norte;Anori, Região Geográfica Imediata de Coari, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-37.435.254;-616.605.203
1300144;Apuí;Amazonas;AM;Norte;Apuí, Região Geográfica Imediata de Manicoré, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, 69265-000, Brasil;-71.940.195;-598.830.192
1300201;Atalaia do Norte;Amazonas;AM;Norte;Atalaia do Norte, Região Geográfica Imediata de Tabatinga, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69650-000, Brasil;-43.658.547;-701.908.742
1300300;Autazes;Amazonas;AM;Norte;Autazes, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-35.833.283;-591.301.518
1300409;Barcelos;Amazonas;AM;Norte;Barcelos, Região Geográfica Imediata de São Gabriel da Cachoeira, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-0.9729214;-62.925.635
1300508;Barreirinha;Amazonas;AM;Norte;Barreirinha, Região Geográfica Imediata de Parintins, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-2.798.863;-57.067.897
1300607;Benjamin Constant;Amazonas;AM;Norte;Benjamin Constant, Região Geográfica Imediata de Tabatinga, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69630-000, Brasil;-43.782.748;-700.290.603
1300631;Beruri;Amazonas;AM;Norte;Beruri, Região Geográfica Imediata de Coari, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-39.007.135;-613.717.319
1300680;Boa Vista do Ramos;Amazonas;AM;Norte;Boa Vista do Ramos, Região Geográfica Imediata de Parintins, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-29.716.927;-575.869.819
1300706;Boca do Acre;Amazonas;AM;Norte;Boca do Acre, Região Geográfica Imediata de Lábrea, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, Brasil;-87.553.487;-673.930.873
1300805;Borba;Amazonas;AM;Norte;Borba, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69200-000, Brasil;-43.934.778;-595.947.721
1300839;Caapiranga;Amazonas;AM;Norte;Caapiranga, Região Geográfica Imediata de Manacapuru, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-33.188.884;-612.096.404
1300904;Canutama;Amazonas;AM;Norte;Canutama, Região Geográfica Imediata de Lábrea, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, Brasil;-65.330.019;-643.834.966
1301001;Carauari;Amazonas;AM;Norte;Carauari, Região Geográfica Imediata de Tefé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69500-000, Brasil;-48.766.426;-668.961.433
1301100;Careiro;Amazonas;AM;Norte;Careiro, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69250-000, Brasil;-38.185.277;-603.616.505
1301159;Careiro da Várzea;Amazonas;AM;Norte;Careiro da Várzea, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-3.197.024;-598.259.104
1301209;Coari;Amazonas;AM;Norte;Coari, Região Geográfica Imediata de Coari, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69460-000, Brasil;-40.885.957;-631.431.166
1301308;Codajás;Amazonas;AM;Norte;Codajás, Região Geográfica Imediata de Coari, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-38.413.202;-620.603.444
1301407;Eirunepé;Amazonas;AM;Norte;Eirunepé, Região Geográfica Imediata de Eirunepé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69880-000, Brasil;-66.567.654;-69.866.161
1301506;Envira;Amazonas;AM;Norte;Envira, Região Geográfica Imediata de Eirunepé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, Brasil;-7.437.889;-70.028.143
1301605;Fonte Boa;Amazonas;AM;Norte;Fonte Boa, Região Geográfica Imediata de Tefé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69670-000, Brasil;-2.55;-6.691.321.428.571.420
1301654;Guajará;Amazonas;AM;Norte;Guajará, Região Geográfica Imediata de Eirunepé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, Brasil;-75.455.927;-725.832.769
1301704;Humaitá;Amazonas;AM;Norte;Humaitá, Região Geográfica Imediata de Manicoré, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, 69800-000, Brasil;-75.099.404;-630.248.674
1301803;Ipixuna;Amazonas;AM;Norte;Ipixuna, Região Geográfica Imediata de Eirunepé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, Brasil;-70.502.834;-71.691.232
1301852;Iranduba;Amazonas;AM;Norte;Iranduba, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-32.758.203;-601.867.429
1301902;Itacoatiara;Amazonas;AM;Norte;Itacoatiara, Região Geográfica Imediata de Itacoatiara, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-31.477.898;-584.461.041
1301951;Itamarati;Amazonas;AM;Norte;Itamarati, Região Geográfica Imediata de Eirunepé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69510-000, Brasil;-64.385.189;-682.437.385
1302009;Itapiranga;Amazonas;AM;Norte;Itapiranga, Região Geográfica Imediata de Itacoatiara, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-27.461.205;-58.025.377
1302108;Japurá;Amazonas;AM;Norte;Japurá, Região Geográfica Imediata de Tefé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, Brasil;-18.808.468;-669.967.657
1302207;Juruá;Amazonas;AM;Norte;Juruá, Região Geográfica Imediata de Tefé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, Brasil;-34.746.666;-660.622.335
1302306;Jutaí;Amazonas;AM;Norte;Jutaí, Região Geográfica Imediata de Tefé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, Brasil;-27.471.478;-667.721.255
1302405;Lábrea;Amazonas;AM;Norte;Lábrea, Região Geográfica Imediata de Lábrea, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, 69830-000, Brasil;-72.613.683;-647.924.505
1302504;Manacapuru;Amazonas;AM;Norte;Manacapuru, Região Geográfica Imediata de Manacapuru, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-32.996.768;-606.213.528
1302553;Manaquiri;Amazonas;AM;Norte;Manaquiri, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-34.305.885;-604.593.078
1302603;Manaus;Amazonas;AM;Norte;Manaus, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil;-31.316.333;-599.825.041
1302702;Manicoré;Amazonas;AM;Norte;Manicoré, Região Geográfica Imediata de Manicoré, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, Brasil;-5.804.618;-61.289.483
1302801;Maraã;Amazonas;AM;Norte;Maraã, Região Geográfica Imediata de Tefé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69490-000, Brasil;-18.535.579;-655.897.749
1302900;Maués;Amazonas;AM;Norte;Maués, Região Geográfica Imediata de Parintins, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-33.795.798;-577.196.072
1303007;Nhamundá;Amazonas;AM;Norte;Nhamundá, Região Geográfica Imediata de Parintins, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-21.921.521;-567.111.308
1303106;Nova Olinda do Norte;Amazonas;AM;Norte;Nova Olinda do Norte, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-38.926.889;-590.953.046
1303205;Novo Airão;Amazonas;AM;Norte;Novo Airão, Região Geográfica Imediata de Manacapuru, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil;-26.260.236;-609.434.406
1303304;Novo Aripuanã;Amazonas;AM;Norte;Novo Aripuanã, Região Geográfica Imediata de Manicoré, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, 69260-000, Brasil;-5.125.929;-60.373.179
1303403;Parintins;Amazonas;AM;Norte;Parintins, Região Geográfica Imediata de Parintins, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-26.344.567;-567.319.324
1303502;Pauini;Amazonas;AM;Norte;Pauini, Região Geográfica Imediata de Lábrea, Região Geográfica Intermediária de Lábrea, Amazonas, Região Norte, Brasil;-77.122.214;-669.998.441
1303536;Presidente Figueiredo;Amazonas;AM;Norte;Presidente Figueiredo, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69735-000, Brasil;-20.486.359;-600.236.658
1303569;Rio Preto da Eva;Amazonas;AM;Norte;Rio Preto da Eva, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69117-000, Brasil;-26.990.647;-597.012.494
1303601;Santa Isabel do Rio Negro;Amazonas;AM;Norte;Santa Isabel do Rio Negro, Região Geográfica Imediata de São Gabriel da Cachoeira, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 67940-000, Brasil;-0.4160389;-650.153.096
1303700;Santo Antônio do Içá;Amazonas;AM;Norte;Santo Antônio do Içá, Região Geográfica Imediata de Tabatinga, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69680-000, Brasil;-3.095.443;-67.946.279
1303809;São Gabriel da Cachoeira;Amazonas;AM;Norte;São Gabriel da Cachoeira, Região Geográfica Imediata de São Gabriel da Cachoeira, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69750-000, Brasil;-0.1249715;-670.813.855
1303908;São Paulo de Olivença;Amazonas;AM;Norte;São Paulo de Olivença, Região Geográfica Imediata de Tabatinga, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69600-000, Brasil;-34.650.627;-689.468.462
1303957;São Sebastião do Uatumã;Amazonas;AM;Norte;São Sebastião do Uatumã, Região Geográfica Imediata de Itacoatiara, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-25.719.341;-578.703.616
1304005;Silves;Amazonas;AM;Norte;Silves, Região Geográfica Imediata de Itacoatiara, Região Geográfica Intermediária de Parintins, Amazonas, Região Norte, Brasil;-28.372.614;-582.105.199
